Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,Costo,Visibilidad
mechas-824,Mecha para Router CNC,Mechas,Medida,82425063521,,,,,,,,82425063521,,no,no,"<p><b>Mecha para Router CNC</b></p><ul><li><b>Marca:</b> Nordutensili</li><li><b>Uso:</b> Mecanizado Router CNC</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Mechas,Nordutensili,824",Mecha para Router CNC 824 - Nordutensili | WoodTools,Mecha para Router CNC 824. Mecanizado Router CNC Consultanos por medidas y stock.,Nordutensili,si,,
mechas-925,Mecha para Router CNC,Mechas,Medida,92505063521,,,,,,,,92505063521,,no,no,"<p><b>Mecha para Router CNC</b></p><ul><li><b>Marca:</b> Nordutensili</li><li><b>Uso:</b> Mecanizado Router CNC</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Mechas,Nordutensili,925",Mecha para Router CNC 925 - Nordutensili | WoodTools,Mecha para Router CNC 925. Mecanizado Router CNC Consultanos por medidas y stock.,Nordutensili,si,,
mechas-925,,,Medida,92515063521,,,,,,,,92515063521,,no,no,,,,,,si,,
mechas-927,Mecha para Router CNC,Mechas,Medida,92708063521,,,,,,,,92708063521,,no,no,"<p><b>Mecha para Router CNC</b></p><ul><li><b>Marca:</b> Nordutensili</li><li><b>Uso:</b> Mecanizado Router CNC</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Mechas,Nordutensili,927",Mecha para Router CNC 927 - Nordutensili | WoodTools,Mecha para Router CNC 927. Mecanizado Router CNC Consultanos por medidas y stock.,Nordutensili,si,,
mechas-929,Mecha para Router CNC,Mechas,Medida,92906063521,,,,,,,,92906063521,,no,no,"<p><b>Mecha para Router CNC</b></p><ul><li><b>Marca:</b> Nordutensili</li><li><b>Uso:</b> Mecanizado Router CNC</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Mechas,Nordutensili,929",Mecha para Router CNC 929 - Nordutensili | WoodTools,Mecha para Router CNC 929. Mecanizado Router CNC Consultanos por medidas y stock.,Nordutensili,si,,
mechas-932,Mecha para Router CNC,Mechas,Medida,93206063521,,,,,,,,93206063521,,no,no,"<p><b>Mecha para Router CNC</b></p><ul><li><b>Marca:</b> Nordutensili</li><li><b>Uso:</b> Mecanizado Router CNC</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Mechas,Nordutensili,932",Mecha para Router CNC 932 - Nordutensili | WoodTools,Mecha para Router CNC 932. Mecanizado Router CNC Consultanos por medidas y stock.,Nordutensili,si,,
sierras-lg3d,Sierra para Melamina,Sierras,Medida,LG3D 0400,,,,,,,,LG3D 0400,,no,no,"<img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG3D/1.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG3D/2.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><img src=""https://www.woodtools.com.ar/imagenes/herramientas/Sierras/LG3D/3.jpg"" alt=""Sierra para Melamina"" style=""max-width:100%;height:auto;margin:6px 0""><p><b>Sierra para Melamina</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Melamina (Ángulo Positivo - Máquinas Industriales)</li><li><b>Tipo de diente:</b> Trapezoidal-Plano / Positivo</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,LG3D",Sierra para Melamina LG3D - Freud | WoodTools,Sierra para Melamina LG3D. Melamina (Ángulo Positivo - Máquinas Industriales) Consultanos por medidas y stock.,Freud,si,,
sierras-lg3d,,,Medida,LG3D 0600,,,,,,,,LG3D 0600,,no,no,,,,,,si,,
sierras-lg3d,,,Medida,LG3D 0800,,,,,,,,LG3D 0800,,no,no,,,,,,si,,
sierras-ssk12,Sierra para Melamina,Sierras,Medida,SSK12 001,,,,,,,,SSK12 001,,no,no,"<p><b>Sierra para Melamina</b></p><ul><li><b>Marca:</b> Freud</li><li><b>Material:</b> Metal duro</li><li><b>Uso:</b> Melamina (Máquinas Industriales)</li></ul><p>Ficha técnica completa en <a href=""https://www.woodtools.com.ar"" target=""_blank"">woodtools.com.ar</a></p>","Sierras,Freud,SSK12",Sierra para Melamina SSK12 - Freud | WoodTools,Sierra para Melamina SSK12. Melamina (Máquinas Industriales) Consultanos por medidas y stock.,Freud,si,,
